Username,Comment,Likes
emmett_sullivan_,TELL DEM TO BRING OUT THE WHOLE OCEAN!,0
ball4everyoung,😂😂😂 good job Wifey caught her one 😂😂,0
ceejay_cardoz,It's so early in the morning where I am and I could KILL for sushi right this instant.,0
curuekdlo,이거보고 팔로우를 안할수가 없겠더라고요...ㄷㄷ,0
incognitowrldd,HAHGAAA the spit 😭😭,0
thatzsodevyn,Not a chef but got a whole tuna inside 💀 bro HELP ME,0
raerootsyoga,I don’t get why the size of this fish is necessary if he’s only feeding his wife. I hope others are present to consume the food and it isn’t going to waste. Concerning because sashimi once filleted and room temperature won’t last long. I really hope this isn’t wasted. Bigger isn’t better this account would be more appealing if he was serving a normal proportion of food. Greed and waste are not sexy.,0
heididebreeso,"Everyone wants to marry him, guys included…😻",0
kimcinema7,행님 못하시는게 뭐죠. 참치 헤체까지,0
sorae89,@qwrjdidbd 😂😂😂😍,0
no.mmswey83,The husband…this is delicious compliments to chef 👌🏽,0
rm__34_,So why haven’t you opened a restaurant yet?,0
mlle_aelita,I’m so jealous omg 😢😢😢,0
christycat028,"When I saw this I thought of: Tuna sashimi, Toro bowls, Ahi Tuna salad, Poke Bowls, Bonito flakes, Tuna empanadas, Crockpots of Miso soup, Tuna sandwiches, Tuna casserole, Tuna patties , Tuna steaks , Tuna Ceviche, Tuna lumpia …. 😂😂😂😂😂😂",0
xalo.es,Hahaha enemy sakamoto days,0
yilmax05,Weltbeste Küche 🙌🏻,0
cbo6369,SuperStar ⭐️,0
amcarlett,Dios tiene a sus favoritas,0
big_lovely_boy04,How much does a whole tuna go for...,0
jebauer1234,I think I found crazy rich Asians 2 on insta 😂👏 looks delicious,0
caroline__kids,"Hi, you are really an amazing person. I admire you. Your videos make my mouth water. I want to learn to cook like you.",0
lil_soul389,He must be a chef in a five star hotel,0
izzyduhsit_,They look so happy,0
gibblesworth,Respect. For the bincho charring.,0
masha_n_medvedi,I hope he actually got a job at Food Network or minimum a restaurant offer…. Cuz it’s insane,0
sir_josephrhinehart,No ine gonna say anything about the spitting ? 😒🤷🏽‍♂️,0
brookshields,I love how she just enjoy all the food 😂,0
katy_headnurse23,ITS THE GOOD JOB FOR ME HAHA,0
victoria.metzler,This guy seriously needs to get recognized by the culinary world and become a top tier chef!! 🙌👏🔥❤️,0
