Username,Comment,Likes
jun.chen.161,Audio editing is so cool,0
1love_.music,Crazyyy edit 🙌🏻❤️‍🔥,0
marii_skyyy,🔥🔥,0
ja3mor,🔥🔥🔥,0
ionfitz_,🔥🔥🔥🔥,0
lunashid.gallery,Style ، acting ، edit 10/10 😮‍💨🤌🏻,0
jeannee_moon,"That- that was wild, the best fashion transition 😍😍",0
a.alvndii,✨🔥,0
timzino._,🔥🔥🔥🔥🔥,0
guimaraesnoemy,I wonder how long it took to edit this one,0
dijataldiary,"As a Khadija, I feel so included 😭 (also the 'fits and editing absolutely slayed)",0
seyidlimakeup,Wtf😮😮😮,0
ovi.lating,Whys bro getting better EVERYDAY??,0
_rabail.fatima_,Ohh... We need tutorial,0
yungalyy,HOLY TUFF,0
naz__il._,Yessirr🔥🔥,0
logan.delrosario,The greatest to ever do it 😭😭,0
angela0412._,Am i on tik tok premium?!,0
rush4life._,Bro cooked fr🧑‍🍳,0
itz_jbn_,Bro u r outfits are to awesome 🔥🙌,0
austinbchen,IB: @yungalyy @saarrafina,0
@yungalyy,IB: @yungalyy @saarrafina,0
@saarrafina,IB: @yungalyy @saarrafina,0
_rheeeaaa_,CRAZY AF,0
tushar_nagarrr,i need offfffffffffff these man,0
tonydurgacr7,❤️🫶🏻,0
josiahjuneja,This is crazy 😵🔥,0
ziad_sol,Where is the audio from is it from a show?,0
hannovae,try us,0
aqsa._.rajpoot05,This is the type of content my dad pays Internet bills for,0
lucasxulim,The new g-shock?😮,0
prosperchiu,this goes hard,0
k.mazouz_,✨Khadijah✨,0
outf_lex,Bodies bodie bodies 🔥,0
whybe.hrshh,HOLY TUFF,0
eiisha12,SMASH,0
dadlifejason,Wisdom has 36 hours to respond.,0
sach.inyadav5767,Fire 🔥 bro 😎🆒💪👏,0
younes.d4li,@djibou_antl il va me falloir ces pièces la,0
@djibou_antl,@djibou_antl il va me falloir ces pièces la,0
4.ceeo,My name (Khadijah) 😂,0
nihalahashdill,@khadeeja__ajmii,0
@khadeeja__ajmii,nihalahashdill,0
_emanishh_,Bruuuuuuuuuuuu,0
saarrafina,Yessss🔥🔥🔥🔥,0
page.mhdi,"we, yes WE are all dressing like this in summer twin🥀🥀🥀",0
aazizli76,song???,0
a_culinary_affair,ATE🔥,0
cyj.zach,This was tufff 🔥🔥,0
lemmecoook,@austinbchen pls 21 Pilots,0
@austinbchen,@austinbchen pls 21 Pilots,0
afreen_k_10,Daddiez Daddiez Daddiez💋,0
madihakhalidofficial,Best 👏🔥,0
marrgaiisaba,WOW!,0
jjej.e0ng,I want those bodies,0
highzzen,CRAZY,0
maniha_siddiq,This is fire!! … you ok tho🤡?the audio🤡,0
weisssemilia,Creazyyyy editttt,0
iixi7.1,احب المُبدعين!.,0
shutter_0.4s,SKRILLEX too,0
x.namit.x,watch 🥶,0
likaseta,как вкуснооо 🔥,0
itsfaithedmonds,tuff work🔥🔥,0
miratii.off,@ayoub.uousfi fais toi ce trend avec tes outfits,0
@ayoub.uousfi,@ayoub.uousfi fais toi ce trend avec tes outfits,0
kaixeaa,bro actually spelt khadijah right ❤️,0
livingbykhadija,I’m not de@d 😔,0
its_samar001,Damn menn 🙆🏻,0
kha___dija1997,My name is khadija😂😮,0
_m4hmudov_11,What does your tattoo say ? It looks really cool,0
mayarhradwan,👏👏👏👏👏👏🔥,0
young.merto,Please 🙏 may anyone tell me who's voice is dis like is it a movie 😂,0
ooh.ale_,I usually have something funny to comment but this was just fire asf,0
alinaabid1,@khadijahshabbir8 mentioned 😮💕,0
@khadijahshabbir8,@khadijahshabbir8 mentioned 😮💕,0
elchico_ducha,enséñame a editar así🙏🏾,0
trootmade,Something is coming soon 🔥,0
blor.official,Not a Single Crumb Left Behind!,0
cabrailmb,🔥🔥🔥❤️,0
__rug.kevine,This is so cool🔥😍,0
iijeomaa,Woww😍😍😍,0
jshoea,I nvr thought id see a fashion edit to creed 👏,0
i4maliz,OB,0
v.v.luv,the icon 😍,0
wakeuppgio,🔥🔥🔥,0
zakkxxz,Thanks my brain got massage,0
imwill.iv,🔥🔥🔥🔥,0
moreviraj02,tuffffff 😮‍💨🥶🥶,0
olivia.pierre243454215,🔥🔥🔥🔥🔥,0
mr_lyon77,Cool 🔥,0
lalremfela_,🔥🔥🔥,0
trapperoxy,🔥🔥👏,0
obafemiii.__,Click click😍,0
zero.gravityde,✝️💯✝️,0
brae_lynn_b,Okayyyyy editing ✨,0
2001muaddib369,So good 👏,0
itzkunal011,HARD 🔥,0
rickidmartin,Best one yet. You killed it,0
enough_vicks,Holy. Sickkkkkk,0
__moannaaa__,🔥🔥🔥,0
wahandaah,W fits,0
pque134,🔥🔥🔥,0
abhiraj_22,🔥🔥,0
goms.gold,🔥🔥,0
ka1ra0,Ate🔥,0
shrike.arx,"Which kendrik song , my braincell got dead 😭😭",0
1111.s.m,COOOOOOOL brO🔥,0
danipotat,Fashion needs bro,0
0.__mmd__.0,Shit bro😬🫨,0
fridayborndoc,Lux editing,0
ahmad.gri1,Wow bro 🫶🏽🙌🏽💣🤎,0
d.ave.y,Cold brother,0
official.tellos,Are you fkn kidding me🔥🔥,0
graphiks23,All these designer got me drip drip definition ❤️❤️❤️,0
artw.kena,THIS GOES HARD!!🔥🔥🙌🏾,0
gift.angel.17,Dang! What app did you edit it with?,0
boy.dolls,Edit be so clean🔥🔥,0
the__witcherman,How to get that glitch effect,0
so_umm_yaa,That G-Shock 🤤,0
ii.hamxd,I thought it was barish😭😭😭,0
750_tee,I need that watch😭,0
itsreinders,"Yeah this is the one, you won",0
the_last_khora_,Omg,0
carla___xx_loco,خديجة ؟؟,0
mr.rz96,"Try to wear something old money or suits, it will give you another feeling, just an advice. GL",0
krypton_pictures,"Bruh, so sleek",0
faysalshuvo_,🔥🔥🔥🔥🔥,0
sarah_dou06,The best person who did this trend,0
_theyluvmeet,Cool asf 😋🔥,0
rachisweird,So cool,0
sheisoriettabenedetti,"Yoooo, the editing on point 🔥🔥🔥",0
just_feyi1.0,"Cleanest edit I've seen today, OMG 😳🔥",0
nacho_revilla_,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0
kawther_22481,❤️❤️❤️❤️,0
zxyvcny,ATEEEEE 🔥🔥🔥🔥,0
theizelish,🫠🫠🫠🫠🫠,0
raeastrology,Okaaaay clean af,0
thedhruvika,GOAT,0
nikaleledieu,"Wesh comment tu fais ça c’est trop bien, apprends-moi👏🔥🔥🔥🔥",0
_reckless.endangerment_,Bro love the EDEN poster in the back ❤️,0
roufaida_ch_17,Bro that's awesome,0
sizamsgallery,I aspire to be as cool as you,0
adam_d.4,brooooo it’s 😂 we are not ready for this one,0
osaerhabortreasure,Outfit and edit ate🔥,0
akbari_myna,Ooh,0
giankiy,"Yo, whats the brand of the black suit?",0
phanfusion_,🔥🔥🔥,0
egnattta,wow🙌🔥,0
cherrrysgf,This is what I pay my internet bills for,0
nlawwn,🔥🔥🔥🔥,0
anechka.kardanova,Вау😍,0
evaollixa,Damnnnnn,0
abdullahmamon,Bro 🥶🥶🩸,0
m.mtdyyn,Bloody hell yeah 🔥,0
kh_adija.74,Khadija❎ khadijah✅,0
tota_tota_khlst_2l7adota,khadijah no h 🙌 just khadija,0
khadijaelshaaer,I am Khadijah by the way,0
khadijaelshaaer,But the editing is awesome,0
