Username,Comment,Likes
luciana.peixotto,👏👏👏👏👏👏❤️❤️❤️❤️❤️❤️❤️❤️❤️,0
baseline_train,I love you guys,0
laparolevn,❤️ omg u are so cool,0
girlmeetschef_,So beautiful and inspiring! 🤍 Love your story and will be following along from now on ☺️,0
validvillain,U are so cool,0
allthingsbecka,"Im new here, what does POV stand for?",0
bunm1,❤️❤️❤️,0
covered.by.the.blood.of.jesus,May the Lord God bless you and your family forever ❤️,0
morph_case,May you and your family will be blessed with eternal happiness and free from any struggle🙌🙌🙌🙌❤️❤️,0
itsmznarybo0,Beautiful story thr life of struggle but never give up hope. 👏🙌🔥,0
jo_franco12,Amazing and inspirational God bless you and your family 🙏🏾🙌🏾,0
samson.dez,Do people really read this fast?,0
cyriltemim,🙌🔥🔥love that!!! Keep it going!!!,0
hanypill,❤️❤️❤️❤️❤️❤️,0
seicaryana,"❤️👏😍 Inspiring, it's like seeing a miracle",0
madre_feliz_coreana,God bless you. Amazing family 😍😍😍,0
v_0_0_v_99,Are you a Korean-American? Or have you immigrated?,0
i_am_elinda,👏👏👏👏👏👏 get it!!!,0
favoritesbistrobar,❤️❤️❤️❤️ we are so happy for you,0
pinaycheli318,I love this made me cry how inspirational,0
moosestudd,I think you're doing great don't worry,0
chungin86,Time for restaurant bud,0
littleloft.art,I love this! ❤️ One of my favorite channels!,0
calshomecookin,👏🔥 Love your channel my wife and I are both fans,0
soleiluz,This is beautiful ✨,0
sahasarara36,"You make me want a wife just do i can do shih like this for her, you a G. Showing the ppl what a real man is",0
c3ttley3,Makes me wanna cry!!! So inspiring ❤️,0
chris_bat069,"👏 Really could not happen to a better man, person, family. Congrats on your success 🙌",0
jose.figueroa.7140,All love and Respect for the people from South Korea. 🇵🇷 🇰🇷 🙌🏾,0
iamneema,Amazing 🔥🙌❤️,0
akamanya,What a great husband and dad and the man of Your wife! 🔥❤️,0
gravity8me,Best you can do as a parent is try and try this is a great example ❤️🙌,0
badantie,I’m crying xxx so much love 🥰,0
chronichristoffen,Not me being a new father and seeing this hoping that one day my account will allow me to do the same. This is some true motivation 🙏🏽 bless you and your fam!🔥,0
erich_cervantez,Are you making any money off Instagram??,0
iamcaprinova,You're an inspiration! Fantastic videos and an amazing chef.,0
jsteinmetz22,So happy for your guys 👏,0
the_mermaid_warrior,"Awww I love this video! I’m so proud of you! Everything happens for a reason and blessings come in many forms. I love watching you cook for your wife, family and friends. Your cooking and the love you pour into your food, your family and the process is beautiful! You’re a true talent and keep it up! Wishing you and your family continue love and success! 🙌",0
henrykim1983,Husband of the year 🙌,0
molinaprissy,I love all you cooking videos,0
pbkurnianto,no way you go back to corporate with that cooking skill,0
heyoka_01369,"How much did it take this for you guys?, is an amazing and beautiful trip I'm really happy for this family ❤️🔥 i love to find beautiful people being beautiful with each other ❤️🙌🔥",0
samuel.j.rice,"What a way to change your families entire life, just by cooking with love.",0
sucamlett,😭😭😭😭😭😭😭😭😭♥️♥️♥️♥️♥️♥️🙏🙏🙏,0
king.bridges,Best post I’ve seen honestly in a long time,0
primmy06,Why does reading this bring tears to my eyes! 🥹 I love the raw honesty in your story and am so happy to see your success. Your family is adorable!,0
brownpetersonmary,Sir you’ve got this and we’ve got you 😊❤️🙏,0
globerider77,🔥❤️so cool to see wonderful things like this. May many blessings come your way along with your family. Thx for sharing your pov sir. 👍🏼👊🏻😎🤓🍳👏🏼,0
i.am.ram,You are the cutest couple!! Wishing you every bit of success!,0
1o08g,❤️❤️❤️❤️❤️,0
khris_jung_real_estate,Content I need on my feed 🫡,0
ps_lovemello,I love this 🙌🏾❤️,0
chvllens,u inspired me fam,0
alexm_c_a,"Just found your account now the first video I saw of you was a 13 stack pot of food, followed you now I’m going down the list of videos, I will say sir that you are a man’s man, you were willing to do something you don’t like to provide and when that did not work out you turned to something else to support your family. Not many can do that, that’s mentally tough.",0
