=== POST METADATA ===
Post URL,https://www.instagram.com/reel/CZze5EshBlQ/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
Post Type,reel
Post Caption,"155K likes, 1,018 comments - doobydobap on February 10, 2022: ""247 or 95?

Spam Kimchi Fried Rice 
½ can spam
2 cups day old rice 
1 cup fermented kimchi 
jewelzies,very nice explanation ❤️ i've been thinking about the topic alot lately @doobydobap,0
@doobydobap,very nice explanation ❤️ i've been thinking about the topic alot lately @doobydobap,0
capnmcnugget,"As someone who has a 6-6 job and music as my hobby, I gotta say I’m pretty happy. Making money and just winding down and playing guitar or piano or anything at the end of the day is just special for me. Yeah I haven’t “made it” and I don’t have much but I’m happy and that’s all that matters to me",0
dom_grow,I thought this was a Starbucks for second with that apron of yours 😂,0
karepanmann,A 9-5 that I don't hate and a hobby I love,0
_jimmy_patel_,Our society doesnt pay people enough to have such opinions these days.,0
aemi_panama,i have to disagree so bad on this one but the video is actual blisssss,0
madilynmontana,"Girl, there is nothing more satisfying than eating good food and that first burp from your favorite beer. 🍻",0
make_em_say_eun,"I've couldn't do the 9-5, so I didn't. But others can't do the 24/7, so they didn't either. People on both sides are miserable or happy, but it has nothing to do with the inherent lifestyle. Success/happiness comes from understanding and knowing yourself, and then giving yourself the lifestyle that brings you happiness.",0
taksumbong,"I mean for me personally, do what makes you happy as long as you can survive off of what you are doing and your happy. The whole fame or money will come later, even if it don’t come, I’m cool with that, cause our time here is limited. So it’s like I can take that money with me, I just want to feel happy while I’m here",0
grtztar,The San Mig Beer is the Kicker :D more content and power @doobydobap,0
@doobydobap,The San Mig Beer is the Kicker :D more content and power @doobydobap,0
naman.vu,Thank you for talking about this 👏,0
itsameyario,Based,0
mballs1,Looks spicy,0
ckfotophotography,San mig and spam hash straight out of Manila,0
_dylanhodges,"While it’s nice of you to try and tell young people to take care of themselves and not burn out from working.. it’s also destructive because I think I can safely say that 75% of people under 30 do not make enough money even from a non-entry level job, to purchase a home. And those who rent, are forced to pay a large portion of their income to something that isn’t an asset. Yes of course we shouldn’t be burning ourselves out and we should be enjoying our lives, but our lives will not be enjoyable in the future if you don’t work 2 jobs to be able to save for a ridiculous down payment on a home just to be able to own a home and safely retire.  It is now almost necessary for people who don’t own a home to work 2 jobs.",0
eclectic_calm,20's is the time of your life to live life as much as you can. These experiences and connections will set a great foundation for the rest of your life when you slow down and get a bit more serious. Money is overrated. You will never get back missed time.,0
adrennn,I’m curious isn’t a 9-5 a 7 1/2 hour shift ? Cause a 30min lunch is required for full time shifts no ?,0
bigotakugamershawny,"See the thing that people don't understand about GaryVee is that his advice isn't speaking to everyone, and he even says that. There's MULTIPLE times and videos where people tell him or he ask, ""Are you happy? Yes? Then you already won. You don't need my advice"" His advice is for the people that say they dont want a 9 to 5, the people that have ideas and dreams and wants it to be there job, the people that have no idea what they want and looking for answers, and the people that feel like they don't have time or support to do more. THATS who his advice is for. If you have a 9 to 5, have hobbies, and you are happy, he ALWAYS says you won and don't need to listen to his motivation",0
elevateher360,Drooling,0
keith_sarayba,That san miguel 🍺🇵🇭,0
1_1_v_m,"Interesting that you call it “repertoire”. I thought it was initially incorrect usage, but maybe it’s alluding to the fact that these guru’s like gary vee are, at the end of the day, performers for social media views.",0
spinegame,love you chef!,0
andrew.mch,"Wait, what’s up with the double Spam lid?? Is that a thing? My Spam doesn’t have that first plastic lid lol.",0
aster_the_bastard,Spam 😵‍💫,0
alexander_universe14,I want a San Miguel. Also i dont want to turn my passion in a career. I do not want to kill the drive. I also want a san miguel.,0
junjehh,I love you,0
